codigo,aids,animais,dengue,hanseniase,hepatites,sadquirida,scongenita,sgestante,toxico,tuberculose,autoprovocada_sim,autoprovocada_não,violencia,estabelecimentos,profissionais,estado,metropolitana,amazonia,semiarido,agropecuaria,industria,servicos,servicos_basicos,impostos,pib,per_capita,populacao,latitude,longitude,regiao,nascimentos,mortalidade_geral,mortalidade_infantil
110001,1,192,833,51,41,28,2,12,186,26,24,79,117,35,68,RO,0,1,0,162668.0,14441.0,130220.0,158948.0,29351.0,495629.0,21600.73,22945,-11.9287,-61.9958,N,1828,659,23
110037,1,199,90,86,12,13,1,2,31,4,1,3,4,14,27,RO,0,1,0,133292.0,10228.0,43656.0,90258.0,11248.0,288681.0,21802.07,13241,-12.1405,-61.8379,N,803,252,4
110040,5,62,65,43,66,18,2,11,18,12,0,9,10,19,26,RO,0,1,0,102009.0,19732.0,84860.0,133713.0,18150.0,358464.0,16728.75,21428,-9.7147,-63.3193,N,1154,369,24
110034,5,78,126,24,8,16,1,7,35,9,26,24,51,22,30,RO,0,1,0,81159.0,8651.0,60941.0,99175.0,10423.0,260348.0,18065.91,14411,-11.3467,-62.2852,N,911,414,8
110002,121,252,198,224,240,296,8,89,321,177,146,250,444,124,379,RO,0,1,0,170831.0,283899.0,1136039.0,703663.0,284398.0,2578830.0,23908.38,107863,-9.90612,-63.033,N,8580,2557,111
110045,9,156,721,81,98,134,6,36,105,31,31,90,124,33,78,RO,0,1,0,189293.0,29260.0,207796.0,245751.0,53931.0,726031.0,18309.15,39654,-10.206,-63.8312,N,3064,747,39
110003,2,30,289,5,3,3,0,5,14,2,0,1,1,11,23,RO,0,1,0,61501.0,3267.0,25547.0,43646.0,5998.0,139959.0,26347.78,5312,-13.4951,-60.5446,N,388,156,6
110060,2,16,80,12,13,2,1,2,4,5,1,2,3,6,6,RO,0,1,0,74141.0,1982.0,20382.0,44048.0,3884.0,144437.0,23184.1,6230,-10.3387,-62.9003,N,365,121,0
110004,45,186,334,198,168,362,5,76,157,97,184,132,316,355,897,RO,0,1,0,193077.0,178514.0,1070827.0,564238.0,253988.0,2260644.0,26483.95,85359,-11.4347,-61.4566,N,6970,2399,82
110070,2,53,107,22,37,31,0,5,66,7,4,13,17,13,22,RO,0,1,0,130140.0,16733.0,26165.0,94699.0,6891.0,274627.0,19423.4,14139,-10.5699,-63.6212,N,853,198,6
110080,31,107,255,67,69,60,21,49,19,76,1,8,9,14,40,RO,1,1,0,90307.0,142122.0,111729.0,179565.0,24196.0,547919.0,20526.69,26693,-8.7911,-63.701,N,1850,600,30
110090,1,32,38,7,8,2,0,2,13,4,2,6,8,6,16,RO,0,1,0,66789.0,1075.0,7601.0,26139.0,2359.0,103963.0,34063.78,3052,-11.4257,-61.9487,N,234,83,4
110005,18,47,656,47,27,28,0,7,7,12,2,3,7,22,53,RO,0,1,0,70992.0,16167.0,230623.0,112401.0,76671.0,506854.0,31051.55,16323,-13.1874,-60.8173,N,1318,489,13
110092,4,18,90,31,10,19,2,10,7,11,0,0,0,21,28,RO,0,1,0,111320.0,38695.0,54137.0,85035.0,15572.0,304759.0,27254.46,11182,-12.5533,-60.9026,N,819,186,11
110006,3,73,104,48,17,61,2,8,7,7,1,0,1,22,55,RO,0,1,0,72324.0,20610.0,110968.0,108878.0,22070.0,334851.0,21083.7,15882,-13.1178,-60.5459,N,1166,473,11
110007,3,49,67,14,14,9,1,4,3,8,0,5,5,13,19,RO,0,1,0,238296.0,8457.0,33355.0,58592.0,10548.0,349247.0,47253.06,7391,-12.9982,-60.9421,N,593,174,6
110008,4,69,68,11,12,3,1,6,15,12,1,48,55,8,21,RO,0,1,0,67535.0,4287.0,45147.0,113579.0,8220.0,238769.0,13025.4,18331,-12.4371,-64.2284,N,1153,305,26
110094,8,181,141,56,23,60,3,13,94,18,0,33,39,12,20,RO,0,1,0,99672.0,53221.0,62854.0,152530.0,16601.0,384878.0,15263.84,25215,-9.36106,-62.585,N,1158,244,11
110009,13,206,968,78,49,74,2,17,22,35,0,2,2,45,78,RO,0,1,0,128213.0,47842.0,193941.0,201263.0,53501.0,624760.0,19298.21,32374,-11.527,-61.0256,N,2493,762,33
110010,53,161,455,43,110,136,3,26,94,117,59,97,159,43,134,RO,0,1,0,49489.0,24141.0,394562.0,297713.0,126978.0,892883.0,19337.36,46174,-10.7893,-65.33,N,4264,1103,80
110110,7,59,75,9,10,9,3,2,12,32,0,6,7,10,21,RO,0,1,0,57717.0,12687.0,34469.0,69394.0,9748.0,184014.0,17595.57,10458,-9.19545,-63.1787,N,537,173,3
110011,31,113,296,81,173,123,3,26,97,55,43,38,88,128,251,RO,0,1,0,169612.0,168855.0,647003.0,338745.0,176675.0,1500890.0,28988.7,51775,-10.4322,-62.4792,N,4233,1336,44
110012,107,237,1076,237,237,583,12,67,261,182,148,161,334,428,645,RO,0,1,0,140589.0,519085.0,1800964.0,800573.0,521760.0,3782972.0,29332.41,128969,-10.8782,-61.9326,N,10580,3339,140
110013,9,168,635,75,164,95,4,25,112,26,5,10,16,29,57,RO,0,1,0,175136.0,35327.0,138281.0,251109.0,33154.0,633007.0,15828.73,39991,-9.42747,-61.9976,N,2344,684,33
110120,1,31,115,11,16,8,0,2,9,5,0,1,1,13,18,RO,0,1,0,79607.0,9981.0,48108.0,65003.0,13710.0,216409.0,22402.58,9660,-11.1964,-61.5179,N,462,220,3
110130,1,57,22,35,10,6,0,5,17,6,2,23,34,10,19,RO,0,1,0,64439.0,9287.0,60690.0,72000.0,10630.0,217046.0,19826.97,10947,-11.0294,-62.6701,N,807,296,8
110140,2,163,96,62,68,58,1,6,47,10,16,31,57,10,17,RO,0,1,0,96701.0,19051.0,60103.0,103113.0,12800.0,291768.0,18405.76,15852,-10.2594,-63.2983,N,1032,349,12
110014,2,266,433,51,27,18,0,4,98,13,3,10,13,19,41,RO,0,1,0,102520.0,13758.0,86328.0,133128.0,23790.0,359524.0,17560.03,20474,-11.7251,-62.3131,N,1307,461,13
110033,20,102,248,60,53,18,2,1,17,39,9,8,17,17,38,RO,0,1,0,199540.0,19160.0,97426.0,192660.0,20475.0,529261.0,17305.73,30583,-10.4081,-65.3351,N,2216,557,31
110143,2,95,33,21,3,8,0,1,19,1,16,5,26,6,10,RO,0,1,0,49503.0,2096.0,14376.0,47178.0,4181.0,117334.0,16834.09,6970,-10.9122,-62.5562,N,448,152,5
110050,2,24,84,39,4,0,0,2,8,2,1,0,1,7,11,RO,0,1,0,56866.0,8202.0,34589.0,58410.0,7691.0,165758.0,19414.09,8538,-11.7091,-61.9993,N,504,218,0
110015,26,34,237,106,67,29,4,10,31,42,5,1,6,69,104,RO,0,1,0,136452.0,77450.0,314695.0,240092.0,65480.0,834168.0,23148.83,36035,-10.7171,-62.257,N,3172,1101,34
110018,26,188,669,114,73,96,12,43,49,33,19,133,152,123,175,RO,0,1,0,117084.0,148395.0,448038.0,249788.0,200572.0,1163877.0,31747.87,36660,-11.6724,-61.1984,N,3077,1022,41
110020,1044,1001,1652,450,1163,1126,362,635,573,2279,469,1686,2243,778,3429,RO,1,1,0,647447.0,4311752.0,7194917.0,3532877.0,2225078.0,17912070.0,33825.46,529544,-8.76247,-63.9045,N,43693,11402,593
110025,21,68,205,31,34,14,4,11,9,15,26,2,28,30,61,RO,0,1,0,107464.0,33043.0,126290.0,125738.0,35216.0,427752.0,22529.85,18986,-11.1694,-61.8991,N,1425,624,27
110147,1,33,14,11,2,10,1,1,13,1,6,6,13,3,5,RO,0,1,0,23769.0,1093.0,9001.0,25856.0,2122.0,61841.0,21653.12,2856,-11.8299,-61.3158,N,240,93,5
110026,5,17,54,3,11,12,0,4,2,4,1,0,1,5,11,RO,0,1,0,61267.0,2878.0,11443.0,31868.0,3567.0,111023.0,29496.09,3764,-9.70492,-62.8985,N,216,69,2
110028,23,285,510,200,68,39,7,59,238,34,73,147,224,125,189,RO,0,1,0,95724.0,176673.0,527989.0,360165.0,122884.0,1283434.0,23310.58,55058,-11.7275,-61.7719,N,4581,1418,57
110029,1,145,68,16,10,4,1,7,46,5,2,18,23,13,18,RO,0,1,0,51375.0,9397.0,27147.0,49161.0,5531.0,142612.0,21957.13,6495,-11.9078,-61.7781,N,537,226,3
110148,2,39,87,14,3,7,1,2,5,4,0,0,1,7,10,RO,0,1,0,32793.0,1304.0,14573.0,37203.0,3358.0,89230.0,17252.6,5172,-11.9027,-61.5031,N,310,140,4
110149,3,193,115,76,56,52,3,20,74,8,25,74,134,18,56,RO,0,1,0,124254.0,10623.0,72245.0,128195.0,17930.0,353247.0,17430.53,20266,-12.0524,-63.5684,N,1587,374,20
110032,2,45,74,214,29,18,1,8,42,8,6,8,17,23,31,RO,0,1,0,203024.0,72792.0,147739.0,154599.0,37649.0,615804.0,26768.26,23005,-11.6957,-62.7197,N,1764,495,26
110150,2,13,99,25,20,3,1,7,10,3,0,2,2,11,18,RO,0,1,0,82757.0,7087.0,50402.0,81576.0,14489.0,236312.0,19931.84,11856,-11.7699,-63.0337,N,869,260,10
110155,1,7,12,14,14,2,0,0,4,5,0,0,0,6,8,RO,0,1,0,42256.0,2478.0,11950.0,32315.0,3330.0,92328.0,21431.82,4308,-10.9337,-62.2562,N,312,123,6
110160,1,27,30,14,14,3,0,0,0,8,1,4,5,10,15,RO,0,1,0,92112.0,3243.0,18587.0,72058.0,5509.0,191509.0,18336.7,10444,-10.2487,-62.3543,N,612,184,6
110170,3,24,81,24,28,24,2,5,23,14,24,4,30,11,21,RO,0,1,0,78932.0,4662.0,45211.0,77608.0,8968.0,215381.0,18782.66,11467,-11.1265,-62.3644,N,748,280,9
110175,1,32,55,14,13,2,0,3,3,7,2,8,10,11,14,RO,0,1,0,61215.0,4650.0,21073.0,74487.0,5360.0,166786.0,14886.27,11204,-9.85766,-62.1745,N,486,190,7
110030,58,341,681,199,164,21,11,113,400,79,366,318,692,303,589,RO,0,1,0,120729.0,316934.0,1307160.0,675243.0,411109.0,2831175.0,28353.15,99854,-12.7506,-60.1493,N,7574,2319,91
120001,7,97,239,10,29,27,7,16,20,21,30,47,81,11,30,AC,0,1,0,65080.0,10300.0,60469.0,99931.0,17829.0,253610.0,16623.6,15256,-10.0758,-67.0521,N,1168,274,7
120005,4,53,580,21,13,39,6,19,1,37,1,34,38,11,28,AC,0,1,0,16914.0,2389.0,16991.0,54356.0,2405.0,93054.0,12546.06,7417,-10.9394,-69.5658,N,1206,198,26
120010,8,357,382,13,29,147,12,57,38,54,191,1380,1701,21,119,AC,0,1,0,62441.0,29265.0,128740.0,172773.0,61583.0,454803.0,17307.35,26278,-10.9954,-68.7502,N,2671,644,55
