cidade,aids
110001 Alta Floresta D'Oeste,1
110037 Alto Alegre dos Parecis,1
110040 Alto Paraíso,5
110034 Alvorada D'Oeste,5
110002 Ariquemes,121
110045 Buritis,9
110003 Cabixi,2
110060 Cacaulândia,2
110004 Cacoal,45
110070 Campo Novo de Rondônia,2
110080 Candeias do Jamari,31
110090 Castanheiras,1
110005 Cerejeiras,18
110092 Chupinguaia,4
110006 Colorado do Oeste,3
110007 Corumbiara,3
110008 Costa Marques,4
110094 Cujubim,8
110009 Espigão D'Oeste,13
110010 Guajará-Mirim,53
110110 Itapuã do Oeste,7
110011 Jaru,31
110012 Ji-Paraná,107
110013 Machadinho D'Oeste,9
110120 Ministro Andreazza,1
110130 Mirante da Serra,1
110140 Monte Negro,2
110014 Nova Brasilândia D'Oeste,2
110033 Nova Mamoré,20
110143 Nova União,2
110050 Novo Horizonte do Oeste,2
110015 Ouro Preto do Oeste,26
110018 Pimenta Bueno,26
110020 Porto Velho,1044
110025 Presidente Médici,21
110147 Primavera de Rondônia,1
110026 Rio Crespo,5
110028 Rolim de Moura,23
110029 Santa Luzia D'Oeste,1
110148 São Felipe D'Oeste,2
110149 São Francisco do Guaporé,3
110032 São Miguel do Guaporé,2
110150 Seringueiras,2
110155 Teixeirópolis,1
110160 Theobroma,1
110170 Urupá,3
110175 Vale do Anari,1
110030 Vilhena,58
120001 Acrelândia,7
120005 Assis Brasil,4
120010 Brasiléia,8
120013 Bujari,5
120017 Capixaba,7
120020 Cruzeiro do Sul,19
120025 Epitaciolândia,3
120032 Jordão,1
120033 Mâncio Lima,3
120034 Manoel Urbano,5
120038 Plácido de Castro,8
120080 Porto Acre,6
120040 Rio Branco,263
120043 Santa Rosa do Purus,2
120050 Sena Madureira,25
120045 Senador Guiomard,12
120060 Tarauacá,8
120070 Xapuri,5
130002 Alvarães,2
130006 Amaturá,4
130008 Anamã,1
130010 Anori,7
130014 Apuí,14
130020 Atalaia do Norte,2
130030 Autazes,19
130040 Barcelos,6
130050 Barreirinha,17
130060 Benjamin Constant,27
130063 Beruri,4
130068 Boa Vista do Ramos,8
130070 Boca do Acre,4
130080 Borba,27
130083 Caapiranga,5
130090 Canutama,2
130100 Carauari,6
130110 Careiro,24
130115 Careiro da Várzea,11
130120 Coari,34
130130 Codajás,9
130140 Eirunepé,5
130150 Envira,1
130160 Fonte Boa,7
130165 Guajará,2
130170 Humaitá,53
130180 Ipixuna,1
130185 Iranduba,61
130190 Itacoatiara,88
130200 Itapiranga,5
130210 Japurá,3
130230 Jutaí,6
130240 Lábrea,10
130250 Manacapuru,63
130255 Manaquiri,3
130260 Manaus,5239
130270 Manicoré,10
130280 Maraã,9
130290 Maués,38
130300 Nhamundá,9
130310 Nova Olinda do Norte,28
130320 Novo Airão,8
130330 Novo Aripuanã,3
130340 Parintins,62
130350 Pauini,1
130353 Presidente Figueiredo,21
130356 Rio Preto da Eva,18
130370 Santo Antônio do Içá,1
130380 São Gabriel da Cachoeira,10
130390 São Paulo de Olivença,10
130400 Silves,2
130406 Tabatinga,37
130410 Tapauá,5
130420 Tefé,46
130423 Tonantins,5
130426 Uarini,6
130430 Urucará,4
130440 Urucurituba,7
130000 Município ignorado - AM,4
140005 Alto Alegre,10
140002 Amajari,9
140010 Boa Vista,834
140015 Bonfim,14
140017 Cantá,16
140020 Caracaraí,21
140023 Caroebe,8
140028 Iracema,6
140030 Mucajaí,18
140040 Normandia,1
140045 Pacaraima,19
140047 Rorainópolis,31
140050 São João da Baliza,9
140060 São Luiz,5
140070 Uiramutã,3
150010 Abaetetuba,121
150013 Abel Figueiredo,6
150020 Acará,25
150030 Afuá,11
150034 Água Azul do Norte,1
150040 Alenquer,28
150050 Almeirim,6
150060 Altamira,99
150070 Anajás,3
150080 Ananindeua,927
150085 Anapu,16
150090 Augusto Corrêa,60
150095 Aurora do Pará,11
150100 Aveiro,3
150110 Bagre,1
150120 Baião,25
150125 Bannach,2
150130 Barcarena,124
150140 Belém,4127
150145 Belterra,17
150150 Benevides,105
150157 Bom Jesus do Tocantins,7
150160 Bonito,7
150170 Bragança,170
150172 Brasil Novo,8
150175 Brejo Grande do Araguaia,2
150178 Breu Branco,35
150180 Breves,44
150190 Bujaru,52
150200 Cachoeira do Arari,13
150195 Cachoeira do Piriá,21
150210 Cametá,37
150215 Canaã dos Carajás,88
150220 Capanema,72
150230 Capitão Poço,31
150240 Castanhal,263
150250 Chaves,13
150260 Colares,18
150270 Conceição do Araguaia,16
150275 Concórdia do Pará,11
150276 Cumaru do Norte,5
150277 Curionópolis,24
150280 Curralinho,14
150285 Curuá,9
150290 Curuçá,48
150293 Dom Eliseu,47
150295 Eldorado dos Carajás,35
150304 Floresta do Araguaia,13
150307 Garrafão do Norte,15
150309 Goianésia do Pará,23
150310 Gurupá,19
150320 Igarapé-Açu,25
150330 Igarapé-Miri,18
150340 Inhangapi,2
150345 Ipixuna do Pará,30
150350 Irituia,14
150360 Itaituba,203
150370 Itupiranga,45
150375 Jacareacanga,23
150380 Jacundá,44
150390 Juruti,29
150400 Limoeiro do Ajuru,5
150405 Mãe do Rio,47
150410 Magalhães Barata,8
150420 Marabá,373
150430 Maracanã,20
150440 Marapanim,35
150442 Marituba,245
150445 Medicilândia,14
150450 Melgaço,2
150460 Mocajuba,10
150470 Moju,57
150480 Monte Alegre,30
150490 Muaná,27
150495 Nova Esperança do Piriá,5
150497 Nova Ipixuna,14
150500 Nova Timboteua,10
150503 Novo Progresso,39
150506 Novo Repartimento,70
150510 Óbidos,56
150520 Oeiras do Pará,10
150530 Oriximiná,45
150540 Ourém,9
150543 Ourilândia do Norte,25
150548 Pacajá,28
150549 Palestina do Pará,4
150550 Paragominas,149
150553 Parauapebas,438
150555 Pau D'Arco,4
150560 Peixe-Boi,8
150563 Piçarra,3
150565 Placas,5
150570 Ponta de Pedras,43
150580 Portel,9
150590 Porto de Moz,6
150600 Prainha,12
150610 Primavera,17
150611 Quatipuru,16
150613 Redenção,97
150616 Rio Maria,8
150618 Rondon do Pará,19
150619 Rurópolis,12
150620 Salinópolis,75
150630 Salvaterra,44
150635 Santa Bárbara do Pará,24
150640 Santa Cruz do Arari,8
150650 Santa Isabel do Pará,118
150655 Santa Luzia do Pará,5
150658 Santa Maria das Barreiras,4
150660 Santa Maria do Pará,31
150670 Santana do Araguaia,16
150680 Santarém,586
150690 Santarém Novo,3
150700 Santo Antônio do Tauá,31
150710 São Caetano de Odivelas,24
150715 São Domingos do Araguaia,21
150720 São Domingos do Capim,9
150730 São Félix do Xingu,47
150740 São Francisco do Pará,19
150745 São Geraldo do Araguaia,22
150746 São João da Ponta,8
150747 São João de Pirabas,24
150750 São João do Araguaia,11
150760 São Miguel do Guamá,65
150770 São Sebastião da Boa Vista,10
150775 Sapucaia,10
150780 Senador José Porfírio,4
150790 Soure,55
150795 Tailândia,100
150796 Terra Alta,10
150797 Terra Santa,9
150800 Tomé-Açu,69
150803 Tracuateua,16
150805 Trairão,13
150808 Tucumã,25
150810 Tucuruí,149
150812 Ulianópolis,41
150815 Uruará,19
150820 Vigia,91
150830 Viseu,19
150835 Vitória do Xingu,5
150840 Xinguara,29
150000 Município ignorado - PA,4
160010 Amapá,7
160020 Calçoene,11
160021 Cutias,4
160023 Ferreira Gomes,8
160025 Itaubal,2
160027 Laranjal do Jari,50
160030 Macapá,764
160040 Mazagão,11
160050 Oiapoque,26
160015 Pedra Branca do Amapari,8
160053 Porto Grande,22
160055 Pracuúba,1
160060 Santana,105
160005 Serra do Navio,1
160070 Tartarugalzinho,7
160080 Vitória do Jari,8
170030 Aguiarnópolis,7
170035 Aliança do Tocantins,4
170040 Almas,3
170070 Alvorada,7
170100 Ananás,9
170110 Aparecida do Rio Negro,2
170130 Aragominas,2
170200 Araguaçu,4
170210 Araguaína,211
170215 Araguanã,1
170220 Araguatins,18
170230 Arapoema,11
170240 Arraias,1
170255 Augustinópolis,11
170270 Aurora do Tocantins,1
170290 Axixá do Tocantins,10
170300 Babaçulândia,2
170310 Barrolândia,1
170320 Bernardo Sayão,3
170330 Bom Jesus do Tocantins,2
170370 Brejinho de Nazaré,5
170380 Buriti do Tocantins,1
170382 Cachoeirinha,1
170384 Campos Lindos,7
170388 Carmolândia,1
170389 Carrasco Bonito,2
170390 Caseara,1
170510 Chapada da Natividade,1
170550 Colinas do Tocantins,28
171670 Colméia,5
170600 Couto de Magalhães,8
170610 Cristalândia,1
170650 Darcinópolis,1
170700 Dianópolis,13
170710 Divinópolis do Tocantins,3
170720 Dois Irmãos do Tocantins,1
170730 Dueré,2
170740 Esperantina,6
170765 Figueirópolis,5
170770 Filadélfia,5
170820 Formoso do Araguaia,5
170825 Fortaleza do Tabocão,2
170900 Goiatins,2
170930 Guaraí,14
170950 Gurupi,82
171070 Itaguatins,1
171180 Juarina,1
171190 Lagoa da Confusão,13
171195 Lagoa do Tocantins,1
171200 Lajeado,1
171245 Luzinópolis,1
171250 Marianópolis do Tocantins,6
171280 Maurilândia do Tocantins,1
171320 Miracema do Tocantins,4
171330 Miranorte,4
171370 Monte Santo do Tocantins,1
171420 Natividade,4
171430 Nazaré,2
171488 Nova Olinda,10
171500 Nova Rosalândia,2
171510 Novo Acordo,3
171525 Novo Jardim,1
172100 Palmas,329
171570 Palmeirante,3
171380 Palmeiras do Tocantins,2
171575 Palmeirópolis,5
171610 Paraíso do Tocantins,56
171620 Paranã,1
171650 Pedro Afonso,6
171660 Peixe,6
171665 Pequizeiro,2
171720 Piraquê,2
171750 Pium,2
171800 Porto Alegre do Tocantins,2
171820 Porto Nacional,16
171830 Praia Norte,2
171840 Presidente Kennedy,1
171845 Pugmil,6
171850 Recursolândia,1
171855 Riachinho,4
171870 Rio dos Bois,3
171875 Rio Sono,1
171880 Sampaio,3
171884 Sandolândia,1
171886 Santa Fé do Araguaia,2
171889 Santa Rita do Tocantins,1
171890 Santa Rosa do Tocantins,2
172000 Santa Terezinha do Tocantins,1
172010 São Bento do Tocantins,2
172020 São Miguel do Tocantins,6
172030 São Sebastião do Tocantins,6
172049 São Valério da Natividade,1
172065 Silvanópolis,2
172080 Sítio Novo do Tocantins,3
172090 Taguatinga,3
172097 Talismã,1
172110 Tocantínia,2
172120 Tocantinópolis,10
172208 Wanderlândia,8
172210 Xambioá,13
170000 Município ignorado - TO,1
210005 Açailândia,74
210010 Afonso Cunha,2
210015 Água Doce do Maranhão,4
210020 Alcântara,19
210030 Aldeias Altas,17
210040 Altamira do Maranhão,10
210043 Alto Alegre do Maranhão,50
210047 Alto Alegre do Pindaré,14
210050 Alto Parnaíba,2
210055 Amapá do Maranhão,5
210060 Amarante do Maranhão,10
210070 Anajatuba,8
210080 Anapurus,10
210083 Apicum-Açu,21
210087 Araguanã,3
210090 Araioses,9
210095 Arame,9
210100 Arari,15
210110 Axixá,2
210120 Bacabal,188
210125 Bacabeira,22
210130 Bacuri,16
210135 Bacurituba,2
210140 Balsas,68
210150 Barão de Grajaú,6
210160 Barra do Corda,90
210170 Barreirinhas,69
210177 Bela Vista do Maranhão,3
210173 Belágua,1
210190 Bequimão,19
210193 Bernardo do Mearim,5
210197 Boa Vista do Gurupi,3
210200 Bom Jardim,24
210203 Bom Jesus das Selvas,22
210207 Bom Lugar,6
210210 Brejo,4
210220 Buriti,8
210230 Buriti Bravo,12
210232 Buriticupu,58
210235 Buritirana,11
210237 Cachoeira Grande,2
210240 Cajapió,3
210250 Cajari,4
210255 Campestre do Maranhão,14
210260 Cândido Mendes,15
210270 Cantanhede,11
210275 Capinzal do Norte,5
210280 Carolina,17
210290 Carutapera,22
210300 Caxias,181
210310 Cedral,15
210312 Central do Maranhão,2
210315 Centro do Guilherme,11
210317 Centro Novo do Maranhão,6
210320 Chapadinha,34
210325 Cidelândia,9
210330 Codó,216
210340 Coelho Neto,39
210350 Colinas,31
210355 Conceição do Lago-Açu,10
210360 Coroatá,55
210370 Cururupu,41
210375 Davinópolis,10
210380 Dom Pedro,13
210390 Duque Bacelar,6
210400 Esperantinópolis,8
210405 Estreito,34
210409 Formosa da Serra Negra,8
210410 Fortaleza dos Nogueiras,2
210420 Fortuna,13
210430 Godofredo Viana,4
210440 Gonçalves Dias,7
210450 Governador Archer,4
210455 Governador Edison Lobão,7
210460 Governador Eugênio Barros,13
210462 Governador Luiz Rocha,5
210465 Governador Newton Bello,5
210467 Governador Nunes Freire,34
210470 Graça Aranha,2
210480 Grajaú,47
210490 Guimarães,14
210500 Humberto de Campos,16
210510 Icatu,11
210515 Igarapé do Meio,7
210520 Igarapé Grande,14
210530 Imperatriz,347
210535 Itaipava do Grajaú,8
210540 Itapecuru Mirim,47
210542 Itinga do Maranhão,21
