"cidade","animais"
"110001 Alta Floresta D'Oeste",192
"110037 Alto Alegre dos Parecis",199
"110040 Alto Paraíso",62
"110034 Alvorada D'Oeste",78
"110002 Ariquemes",252
"110045 Buritis",156
"110003 Cabixi",30
"110060 Cacaulândia",16
"110004 Cacoal",186
"110070 Campo Novo de Rondônia",53
"110080 Candeias do Jamari",107
"110090 Castanheiras",32
"110005 Cerejeiras",47
"110092 Chupinguaia",18
"110006 Colorado do Oeste",73
"110007 Corumbiara",49
"110008 Costa Marques",69
"110094 Cujubim",181
"110009 Espigão D'Oeste",206
"110100 Governador Jorge Teixeira",35
"110010 Guajará-Mirim",161
"110110 Itapuã do Oeste",59
"110011 Jaru",113
"110012 Ji-Paraná",237
"110013 Machadinho D'Oeste",168
"110120 Ministro Andreazza",31
"110130 Mirante da Serra",57
"110140 Monte Negro",163
"110014 Nova Brasilândia D'Oeste",266
"110033 Nova Mamoré",102
"110143 Nova União",95
"110050 Novo Horizonte do Oeste",24
"110015 Ouro Preto do Oeste",34
"110145 Parecis",45
"110018 Pimenta Bueno",188
"110146 Pimenteiras do Oeste",9
"110020 Porto Velho",1001
"110025 Presidente Médici",68
"110147 Primavera de Rondônia",33
"110026 Rio Crespo",17
"110028 Rolim de Moura",285
"110029 Santa Luzia D'Oeste",145
"110148 São Felipe D'Oeste",39
"110149 São Francisco do Guaporé",193
"110032 São Miguel do Guaporé",45
"110150 Seringueiras",13
"110155 Teixeirópolis",7
"110160 Theobroma",27
"110170 Urupá",24
"110175 Vale do Anari",32
"110180 Vale do Paraíso",15
"110030 Vilhena",341
"120001 Acrelândia",97
"120005 Assis Brasil",53
"120010 Brasiléia",357
"120013 Bujari",76
"120017 Capixaba",49
"120020 Cruzeiro do Sul",653
"120025 Epitaciolândia",160
"120030 Feijó",75
"120032 Jordão",69
"120033 Mâncio Lima",165
"120034 Manoel Urbano",112
"120035 Marechal Thaumaturgo",138
"120038 Plácido de Castro",171
"120080 Porto Acre",114
"120039 Porto Walter",114
"120040 Rio Branco",1598
"120042 Rodrigues Alves",172
"120043 Santa Rosa do Purus",38
"120050 Sena Madureira",244
"120045 Senador Guiomard",84
"120060 Tarauacá",135
"120070 Xapuri",309
"130002 Alvarães",516
"130006 Amaturá",90
"130008 Anamã",79
"130010 Anori",35
"130014 Apuí",597
"130020 Atalaia do Norte",163
"130030 Autazes",177
"130040 Barcelos",254
"130050 Barreirinha",430
"130060 Benjamin Constant",281
"130063 Beruri",87
"130068 Boa Vista do Ramos",129
"130070 Boca do Acre",131
"130080 Borba",598
"130083 Caapiranga",116
"130090 Canutama",83
"130100 Carauari",146
"130110 Careiro",104
"130115 Careiro da Várzea",70
"130120 Coari",282
"130130 Codajás",69
"130140 Eirunepé",160
"130150 Envira",104
"130160 Fonte Boa",90
"130165 Guajará",96
"130170 Humaitá",322
"130180 Ipixuna",65
"130185 Iranduba",204
"130190 Itacoatiara",742
"130195 Itamarati",48
"130200 Itapiranga",57
"130210 Japurá",39
"130220 Juruá",46
"130230 Jutaí",141
"130240 Lábrea",312
"130250 Manacapuru",412
"130255 Manaquiri",81
"130260 Manaus",577
"130270 Manicoré",293
"130280 Maraã",70
"130290 Maués",365
"130300 Nhamundá",201
"130310 Nova Olinda do Norte",265
"130320 Novo Airão",111
"130330 Novo Aripuanã",123
"130340 Parintins",530
"130350 Pauini",68
"130353 Presidente Figueiredo",186
"130356 Rio Preto da Eva",431
"130360 Santa Isabel do Rio Negro",146
"130370 Santo Antônio do Içá",125
"130380 São Gabriel da Cachoeira",410
"130390 São Paulo de Olivença",264
"130395 São Sebastião do Uatumã",58
"130400 Silves",67
"130406 Tabatinga",333
"130410 Tapauá",130
"130420 Tefé",423
"130423 Tonantins",35
"130426 Uarini",252
"130430 Urucará",139
"130440 Urucurituba",104
"140005 Alto Alegre",741
"140002 Amajari",268
"140010 Boa Vista",1378
"140015 Bonfim",197
"140017 Cantá",142
"140020 Caracaraí",135
"140023 Caroebe",84
"140028 Iracema",98
"140030 Mucajaí",302
"140040 Normandia",58
"140045 Pacaraima",197
"140047 Rorainópolis",179
"140050 São João da Baliza",55
"140060 São Luiz",64
"140070 Uiramutã",331
"140000 Município ignorado - RR",4
"150010 Abaetetuba",555
"150013 Abel Figueiredo",62
"150020 Acará",509
