"cidade","dengue"
"110001 Alta Floresta D'Oeste",833
"110037 Alto Alegre dos Parecis",90
"110040 Alto Paraíso",65
"110034 Alvorada D'Oeste",126
"110002 Ariquemes",198
"110045 Buritis",721
"110003 Cabixi",289
"110060 Cacaulândia",80
"110004 Cacoal",334
"110070 Campo Novo de Rondônia",107
"110080 Candeias do Jamari",255
"110090 Castanheiras",38
"110005 Cerejeiras",656
"110092 Chupinguaia",90
"110006 Colorado do Oeste",104
"110007 Corumbiara",67
"110008 Costa Marques",68
"110094 Cujubim",141
"110009 Espigão D'Oeste",968
"110100 Governador Jorge Teixeira",28
"110010 Guajará-Mirim",455
"110110 Itapuã do Oeste",75
"110011 Jaru",296
"110012 Ji-Paraná",1076
"110013 Machadinho D'Oeste",635
"110120 Ministro Andreazza",115
"110130 Mirante da Serra",22
"110140 Monte Negro",96
"110014 Nova Brasilândia D'Oeste",433
"110033 Nova Mamoré",248
"110143 Nova União",33
"110050 Novo Horizonte do Oeste",84
"110015 Ouro Preto do Oeste",237
"110145 Parecis",204
"110018 Pimenta Bueno",669
"110146 Pimenteiras do Oeste",62
"110020 Porto Velho",1652
"110025 Presidente Médici",205
"110147 Primavera de Rondônia",14
"110026 Rio Crespo",54
"110028 Rolim de Moura",510
"110029 Santa Luzia D'Oeste",68
"110148 São Felipe D'Oeste",87
"110149 São Francisco do Guaporé",115
"110032 São Miguel do Guaporé",74
"110150 Seringueiras",99
"110155 Teixeirópolis",12
"110160 Theobroma",30
"110170 Urupá",81
"110175 Vale do Anari",55
"110180 Vale do Paraíso",130
"110030 Vilhena",681
"110000 Município ignorado - RO",6
"120001 Acrelândia",239
"120005 Assis Brasil",580
"120010 Brasiléia",382
"120013 Bujari",190
"120017 Capixaba",221
"120020 Cruzeiro do Sul",9141
"120025 Epitaciolândia",823
"120030 Feijó",1240
"120032 Jordão",6
"120033 Mâncio Lima",1201
"120034 Manoel Urbano",198
"120035 Marechal Thaumaturgo",66
"120038 Plácido de Castro",800
"120080 Porto Acre",448
"120039 Porto Walter",48
"120040 Rio Branco",5613
"120042 Rodrigues Alves",947
"120043 Santa Rosa do Purus",4
"120050 Sena Madureira",1498
"120045 Senador Guiomard",157
"120060 Tarauacá",2325
"120070 Xapuri",1213
"130002 Alvarães",38
"130006 Amaturá",1
"130008 Anamã",1
"130010 Anori",8
"130014 Apuí",20
"130020 Atalaia do Norte",13
"130030 Autazes",28
"130040 Barcelos",124
"130050 Barreirinha",3
"130060 Benjamin Constant",561
"130063 Beruri",36
"130068 Boa Vista do Ramos",35
"130070 Boca do Acre",296
"130080 Borba",165
"130083 Caapiranga",3
"130090 Canutama",5
"130100 Carauari",687
"130110 Careiro",24
"130115 Careiro da Várzea",4
"130120 Coari",383
"130130 Codajás",69
"130140 Eirunepé",27
"130150 Envira",7
"130160 Fonte Boa",2
"130165 Guajará",1200
"130170 Humaitá",177
"130180 Ipixuna",49
"130185 Iranduba",85
"130190 Itacoatiara",652
"130195 Itamarati",2
"130200 Itapiranga",2
"130210 Japurá",17
"130220 Juruá",2
"130230 Jutaí",3
"130240 Lábrea",60
"130250 Manacapuru",94
"130255 Manaquiri",3
"130260 Manaus",11183
"130270 Manicoré",36
"130280 Maraã",10
"130290 Maués",397
"130300 Nhamundá",1
"130310 Nova Olinda do Norte",146
"130320 Novo Airão",93
"130330 Novo Aripuanã",608
"130340 Parintins",577
"130350 Pauini",5
"130353 Presidente Figueiredo",86
"130356 Rio Preto da Eva",16
"130360 Santa Isabel do Rio Negro",2
"130370 Santo Antônio do Içá",7
"130380 São Gabriel da Cachoeira",1430
"130390 São Paulo de Olivença",10
"130395 São Sebastião do Uatumã",1
"130400 Silves",10
"130406 Tabatinga",1132
"130410 Tapauá",361
"130420 Tefé",778
"130426 Uarini",2
"130430 Urucará",64
"130440 Urucurituba",64
"140005 Alto Alegre",29
"140002 Amajari",60
"140010 Boa Vista",1753
"140015 Bonfim",95
"140017 Cantá",69
"140020 Caracaraí",379
"140023 Caroebe",263
"140028 Iracema",69
"140030 Mucajaí",129
"140040 Normandia",17
"140045 Pacaraima",16
"140047 Rorainópolis",322
"140050 São João da Baliza",98
"140060 São Luiz",7
"140070 Uiramutã",34
"150010 Abaetetuba",373
"150013 Abel Figueiredo",50
"150020 Acará",40
"150030 Afuá",47
"150034 Água Azul do Norte",252
"150040 Alenquer",819
"150050 Almeirim",90
"150060 Altamira",511
"150070 Anajás",5
"150080 Ananindeua",825
"150085 Anapu",803
"150090 Augusto Corrêa",136
"150095 Aurora do Pará",28
"150100 Aveiro",5
"150110 Bagre",68
"150120 Baião",40
"150125 Bannach",96
"150130 Barcarena",175
"150140 Belém",2880
"150145 Belterra",68
"150150 Benevides",145
