"cidade","hanseniase"
"110001 Alta Floresta D'Oeste",51
"110037 Alto Alegre dos Parecis",86
"110040 Alto Paraíso",43
"110034 Alvorada D'Oeste",24
"110002 Ariquemes",224
"110045 Buritis",81
"110003 Cabixi",5
"110060 Cacaulândia",12
"110004 Cacoal",198
"110070 Campo Novo de Rondônia",22
"110080 Candeias do Jamari",67
"110090 Castanheiras",7
"110005 Cerejeiras",47
"110092 Chupinguaia",31
"110006 Colorado do Oeste",48
"110007 Corumbiara",14
"110008 Costa Marques",11
"110094 Cujubim",56
"110009 Espigão D'Oeste",78
"110100 Governador Jorge Teixeira",17
"110010 Guajará-Mirim",43
"110110 Itapuã do Oeste",9
"110011 Jaru",81
"110012 Ji-Paraná",237
"110013 Machadinho D'Oeste",75
"110120 Ministro Andreazza",11
"110130 Mirante da Serra",35
"110140 Monte Negro",62
"110014 Nova Brasilândia D'Oeste",51
"110033 Nova Mamoré",60
"110143 Nova União",21
"110050 Novo Horizonte do Oeste",39
"110015 Ouro Preto do Oeste",106
"110145 Parecis",6
"110018 Pimenta Bueno",114
"110146 Pimenteiras do Oeste",3
"110020 Porto Velho",450
"110025 Presidente Médici",31
"110147 Primavera de Rondônia",11
"110026 Rio Crespo",3
"110028 Rolim de Moura",200
"110029 Santa Luzia D'Oeste",16
"110148 São Felipe D'Oeste",14
"110149 São Francisco do Guaporé",76
"110032 São Miguel do Guaporé",214
"110150 Seringueiras",25
"110155 Teixeirópolis",14
"110160 Theobroma",14
"110170 Urupá",24
"110175 Vale do Anari",14
"110180 Vale do Paraíso",10
"110030 Vilhena",199
"120001 Acrelândia",10
"120005 Assis Brasil",21
"120010 Brasiléia",13
"120013 Bujari",6
"120017 Capixaba",9
"120020 Cruzeiro do Sul",68
"120025 Epitaciolândia",16
"120030 Feijó",27
"120032 Jordão",6
"120033 Mâncio Lima",8
"120034 Manoel Urbano",7
"120035 Marechal Thaumaturgo",12
"120038 Plácido de Castro",19
"120080 Porto Acre",20
"120039 Porto Walter",17
"120040 Rio Branco",287
"120042 Rodrigues Alves",19
"120043 Santa Rosa do Purus",3
"120050 Sena Madureira",52
"120045 Senador Guiomard",29
"120060 Tarauacá",39
"120070 Xapuri",37
"130002 Alvarães",2
"130006 Amaturá",1
"130008 Anamã",9
"130010 Anori",14
"130014 Apuí",44
"130020 Atalaia do Norte",23
"130030 Autazes",54
"130040 Barcelos",24
"130050 Barreirinha",8
"130060 Benjamin Constant",25
