"cidade","hepatites"
"110001 Alta Floresta D'Oeste",41
"110037 Alto Alegre dos Parecis",12
"110040 Alto Paraíso",66
"110034 Alvorada D'Oeste",8
"110002 Ariquemes",240
"110045 Buritis",98
"110003 Cabixi",3
"110060 Cacaulândia",13
"110004 Cacoal",168
"110070 Campo Novo de Rondônia",37
"110080 Candeias do Jamari",69
"110090 Castanheiras",8
"110005 Cerejeiras",27
"110092 Chupinguaia",10
"110006 Colorado do Oeste",17
"110007 Corumbiara",14
"110008 Costa Marques",12
"110094 Cujubim",23
"110009 Espigão D'Oeste",49
"110100 Governador Jorge Teixeira",24
"110010 Guajará-Mirim",110
"110110 Itapuã do Oeste",10
"110011 Jaru",173
"110012 Ji-Paraná",237
"110013 Machadinho D'Oeste",164
"110120 Ministro Andreazza",16
"110130 Mirante da Serra",10
"110140 Monte Negro",68
"110014 Nova Brasilândia D'Oeste",27
"110033 Nova Mamoré",53
"110143 Nova União",3
"110050 Novo Horizonte do Oeste",4
"110015 Ouro Preto do Oeste",67
"110145 Parecis",5
"110018 Pimenta Bueno",73
"110020 Porto Velho",1163
"110025 Presidente Médici",34
"110147 Primavera de Rondônia",2
"110026 Rio Crespo",11
"110028 Rolim de Moura",68
"110029 Santa Luzia D'Oeste",10
"110148 São Felipe D'Oeste",3
"110149 São Francisco do Guaporé",56
"110032 São Miguel do Guaporé",29
"110150 Seringueiras",20
"110155 Teixeirópolis",14
"110160 Theobroma",14
"110170 Urupá",28
"110175 Vale do Anari",13
"110180 Vale do Paraíso",12
"110030 Vilhena",164
"120001 Acrelândia",29
"120005 Assis Brasil",13
"120010 Brasiléia",29
"120013 Bujari",16
"120017 Capixaba",30
"120020 Cruzeiro do Sul",374
"120025 Epitaciolândia",33
"120030 Feijó",100
"120032 Jordão",10
"120033 Mâncio Lima",61
"120034 Manoel Urbano",28
"120035 Marechal Thaumaturgo",66
"120038 Plácido de Castro",31
"120080 Porto Acre",37
"120039 Porto Walter",85
"120040 Rio Branco",1184
"120042 Rodrigues Alves",108
"120043 Santa Rosa do Purus",5
"120050 Sena Madureira",169
"120045 Senador Guiomard",57
"120060 Tarauacá",79
"120070 Xapuri",15
"130002 Alvarães",7
"130006 Amaturá",15
"130008 Anamã",12
"130010 Anori",38
"130014 Apuí",3
"130020 Atalaia do Norte",61
"130030 Autazes",29
"130040 Barcelos",10
"130050 Barreirinha",19
"130060 Benjamin Constant",30
"130063 Beruri",6
"130068 Boa Vista do Ramos",2
"130070 Boca do Acre",24
"130080 Borba",24
"130083 Caapiranga",3
"130090 Canutama",12
"130100 Carauari",99
"130110 Careiro",28
"130115 Careiro da Várzea",9
"130120 Coari",238
"130130 Codajás",41
"130140 Eirunepé",121
"130150 Envira",45
"130160 Fonte Boa",96
"130165 Guajará",38
"130170 Humaitá",41
"130180 Ipixuna",6
"130185 Iranduba",53
"130190 Itacoatiara",109
"130195 Itamarati",8
"130200 Itapiranga",1
"130210 Japurá",4
"130220 Juruá",43
"130230 Jutaí",75
"130240 Lábrea",79
"130250 Manacapuru",101
"130255 Manaquiri",12
"130260 Manaus",2770
"130270 Manicoré",11
"130280 Maraã",14
"130290 Maués",26
"130300 Nhamundá",1
"130310 Nova Olinda do Norte",25
"130320 Novo Airão",8
"130330 Novo Aripuanã",9
"130340 Parintins",45
"130350 Pauini",35
"130353 Presidente Figueiredo",39
"130356 Rio Preto da Eva",21
"130360 Santa Isabel do Rio Negro",17
"130370 Santo Antônio do Içá",18
"130380 São Gabriel da Cachoeira",102
"130390 São Paulo de Olivença",8
"130395 São Sebastião do Uatumã",1
"130400 Silves",6
"130406 Tabatinga",40
"130410 Tapauá",38
"130420 Tefé",143
"130423 Tonantins",16
"130426 Uarini",12
"130430 Urucará",5
"130440 Urucurituba",7
"130000 Município ignorado - AM",1
"140005 Alto Alegre",16
"140002 Amajari",14
"140010 Boa Vista",540
"140015 Bonfim",4
"140017 Cantá",7
"140020 Caracaraí",22
"140023 Caroebe",14
"140028 Iracema",9
"140030 Mucajaí",21
"140040 Normandia",4
"140045 Pacaraima",16
"140047 Rorainópolis",10
"140050 São João da Baliza",9
"140060 São Luiz",9
"140070 Uiramutã",16
"150010 Abaetetuba",108
