"cidade","sadquirida"
"110001 Alta Floresta D'Oeste",28
"110037 Alto Alegre dos Parecis",13
"110040 Alto Paraíso",18
"110034 Alvorada D'Oeste",16
"110002 Ariquemes",296
"110045 Buritis",134
"110003 Cabixi",3
"110060 Cacaulândia",2
"110004 Cacoal",362
"110070 Campo Novo de Rondônia",31
"110080 Candeias do Jamari",60
"110090 Castanheiras",2
"110005 Cerejeiras",28
"110092 Chupinguaia",19
"110006 Colorado do Oeste",61
"110007 Corumbiara",9
"110008 Costa Marques",3
"110094 Cujubim",60
"110009 Espigão D'Oeste",74
"110100 Governador Jorge Teixeira",4
"110010 Guajará-Mirim",136
"110110 Itapuã do Oeste",9
"110011 Jaru",123
"110012 Ji-Paraná",583
"110013 Machadinho D'Oeste",95
"110120 Ministro Andreazza",8
"110130 Mirante da Serra",6
"110140 Monte Negro",58
"110014 Nova Brasilândia D'Oeste",18
"110033 Nova Mamoré",18
"110143 Nova União",8
"110015 Ouro Preto do Oeste",29
"110145 Parecis",12
"110018 Pimenta Bueno",96
"110146 Pimenteiras do Oeste",2
"110020 Porto Velho",1126
"110025 Presidente Médici",14
"110147 Primavera de Rondônia",10
"110026 Rio Crespo",12
"110028 Rolim de Moura",39
"110029 Santa Luzia D'Oeste",4
"110148 São Felipe D'Oeste",7
"110149 São Francisco do Guaporé",52
"110032 São Miguel do Guaporé",18
"110150 Seringueiras",3
"110155 Teixeirópolis",2
"110160 Theobroma",3
"110170 Urupá",24
"110175 Vale do Anari",2
"110030 Vilhena",21
"120001 Acrelândia",27
"120005 Assis Brasil",39
"120010 Brasiléia",147
"120013 Bujari",36
"120017 Capixaba",5
"120020 Cruzeiro do Sul",203
"120025 Epitaciolândia",75
"120030 Feijó",3
"120032 Jordão",2
"120033 Mâncio Lima",49
"120034 Manoel Urbano",67
"120035 Marechal Thaumaturgo",7
"120038 Plácido de Castro",35
"120080 Porto Acre",54
"120039 Porto Walter",13
"120040 Rio Branco",25
"120042 Rodrigues Alves",35
"120043 Santa Rosa do Purus",10
"120050 Sena Madureira",205
"120045 Senador Guiomard",113
"120060 Tarauacá",174
"120070 Xapuri",17
"130002 Alvarães",31
"130006 Amaturá",28
"130008 Anamã",24
"130010 Anori",46
"130014 Apuí",37
"130020 Atalaia do Norte",95
"130030 Autazes",34
"130040 Barcelos",17
"130050 Barreirinha",16
"130060 Benjamin Constant",155
"130063 Beruri",17
"130068 Boa Vista do Ramos",17
"130070 Boca do Acre",35
"130080 Borba",63
"130083 Caapiranga",8
"130090 Canutama",12
"130100 Carauari",151
"130110 Careiro",86
"130115 Careiro da Várzea",13
"130120 Coari",227
"130130 Codajás",26
"130140 Eirunepé",145
"130150 Envira",109
"130160 Fonte Boa",11
"130165 Guajará",10
"130170 Humaitá",77
"130180 Ipixuna",16
"130185 Iranduba",151
"130190 Itacoatiara",187
"130195 Itamarati",29
"130200 Itapiranga",5
"130210 Japurá",5
"130220 Juruá",20
"130230 Jutaí",55
"130240 Lábrea",78
"130250 Manacapuru",166
"130255 Manaquiri",25
"130260 Manaus",7463
"130270 Manicoré",44
"130280 Maraã",84
"130290 Maués",40
"130300 Nhamundá",8
"130310 Nova Olinda do Norte",93
"130320 Novo Airão",61
"130330 Novo Aripuanã",38
"130340 Parintins",307
"130350 Pauini",100
"130353 Presidente Figueiredo",69
"130356 Rio Preto da Eva",23
"130360 Santa Isabel do Rio Negro",71
"130370 Santo Antônio do Içá",18
"130380 São Gabriel da Cachoeira",96
"130390 São Paulo de Olivença",39
"130395 São Sebastião do Uatumã",2
"130400 Silves",13
"130406 Tabatinga",241
"130410 Tapauá",29
"130420 Tefé",153
"130423 Tonantins",50
"130426 Uarini",14
"130430 Urucará",25
"130440 Urucurituba",32
"140005 Alto Alegre",10
"140002 Amajari",13
"140010 Boa Vista",1538
"140015 Bonfim",16
"140017 Cantá",23
"140020 Caracaraí",46
"140023 Caroebe",9
"140028 Iracema",21
"140030 Mucajaí",15
"140040 Normandia",10
"140045 Pacaraima",29
"140047 Rorainópolis",56
"140050 São João da Baliza",14
"140060 São Luiz",18
"140070 Uiramutã",16
"150010 Abaetetuba",425
"150020 Acará",8
"150030 Afuá",14
"150034 Água Azul do Norte",7
"150040 Alenquer",61
"150050 Almeirim",5
"150060 Altamira",100
"150070 Anajás",2
"150080 Ananindeua",190
"150085 Anapu",37
"150090 Augusto Corrêa",10
"150095 Aurora do Pará",39
"150100 Aveiro",1
"150110 Bagre",12
"150120 Baião",17
"150125 Bannach",14
"150130 Barcarena",60
"150140 Belém",2715
"150145 Belterra",2
"150150 Benevides",114
"150157 Bom Jesus do Tocantins",2
"150160 Bonito",1
"150170 Bragança",150
"150172 Brasil Novo",8
"150175 Brejo Grande do Araguaia",1
"150178 Breu Branco",6
"150180 Breves",46
"150190 Bujaru",3
"150200 Cachoeira do Arari",7
"150210 Cametá",3
"150215 Canaã dos Carajás",41
"150220 Capanema",57
"150230 Capitão Poço",39
"150240 Castanhal",44
"150250 Chaves",16
"150260 Colares",4
"150270 Conceição do Araguaia",134
"150275 Concórdia do Pará",2
"150276 Cumaru do Norte",6
"150277 Curionópolis",10
"150280 Curralinho",4
"150285 Curuá",4
"150290 Curuçá",151
"150293 Dom Eliseu",10
"150295 Eldorado do Carajás",8
"150304 Floresta do Araguaia",6
"150307 Garrafão do Norte",7
"150309 Goianésia do Pará",24
"150310 Gurupá",8
"150320 Igarapé-Açu",24
"150330 Igarapé-Miri",6
"150340 Inhangapi",2
"150345 Ipixuna do Pará",31
"150350 Irituia",26
"150360 Itaituba",46
"150370 Itupiranga",56
"150375 Jacareacanga",47
