"cidade","scongenita"
"110001 Alta Floresta D'Oeste",2
"110037 Alto Alegre dos Parecis",1
"110040 Alto Paraíso",2
"110034 Alvorada D'Oeste",1
"110002 Ariquemes",8
"110045 Buritis",6
"110060 Cacaulândia",1
"110004 Cacoal",5
"110080 Candeias do Jamari",21
"110092 Chupinguaia",2
"110006 Colorado do Oeste",2
"110007 Corumbiara",1
"110008 Costa Marques",1
"110094 Cujubim",3
"110009 Espigão D'Oeste",2
"110010 Guajará-Mirim",3
"110110 Itapuã do Oeste",3
"110011 Jaru",3
"110012 Ji-Paraná",12
"110013 Machadinho D'Oeste",4
"110140 Monte Negro",1
"110033 Nova Mamoré",2
"110015 Ouro Preto do Oeste",4
"110018 Pimenta Bueno",12
"110020 Porto Velho",362
"110025 Presidente Médici",4
"110147 Primavera de Rondônia",1
"110028 Rolim de Moura",7
"110029 Santa Luzia D'Oeste",1
"110148 São Felipe D'Oeste",1
"110149 São Francisco do Guaporé",3
"110032 São Miguel do Guaporé",1
"110150 Seringueiras",1
"110170 Urupá",2
"110180 Vale do Paraíso",1
"110030 Vilhena",11
"110000 Município ignorado - RO",1
"120001 Acrelândia",7
"120005 Assis Brasil",6
"120010 Brasiléia",12
"120013 Bujari",8
"120017 Capixaba",18
"120020 Cruzeiro do Sul",39
"120025 Epitaciolândia",7
"120030 Feijó",2
"120032 Jordão",3
"120033 Mâncio Lima",11
"120034 Manoel Urbano",2
"120035 Marechal Thaumaturgo",4
"120038 Plácido de Castro",7
"120080 Porto Acre",17
"120039 Porto Walter",2
"120040 Rio Branco",127
"120042 Rodrigues Alves",3
"120043 Santa Rosa do Purus",1
"120050 Sena Madureira",18
"120045 Senador Guiomard",18
"120060 Tarauacá",64
"120070 Xapuri",12
"130002 Alvarães",2
"130006 Amaturá",2
"130008 Anamã",6
"130010 Anori",13
"130014 Apuí",1
"130020 Atalaia do Norte",4
"130030 Autazes",6
"130040 Barcelos",1
"130050 Barreirinha",10
"130060 Benjamin Constant",5
"130063 Beruri",1
"130068 Boa Vista do Ramos",5
"130070 Boca do Acre",5
"130080 Borba",9
"130083 Caapiranga",2
"130090 Canutama",2
"130100 Carauari",5
"130110 Careiro",25
"130115 Careiro da Várzea",6
"130120 Coari",7
"130140 Eirunepé",14
"130165 Guajará",11
"130170 Humaitá",16
"130185 Iranduba",48
"130190 Itacoatiara",13
"130210 Japurá",2
"130240 Lábrea",9
"130250 Manacapuru",34
"130255 Manaquiri",6
"130260 Manaus",2684
"130270 Manicoré",4
"130280 Maraã",1
"130290 Maués",20
"130300 Nhamundá",2
"130310 Nova Olinda do Norte",15
"130320 Novo Airão",12
"130330 Novo Aripuanã",3
"130340 Parintins",27
"130350 Pauini",1
"130353 Presidente Figueiredo",9
"130356 Rio Preto da Eva",7
"130360 Santa Isabel do Rio Negro",4
"130380 São Gabriel da Cachoeira",10
"130390 São Paulo de Olivença",2
"130395 São Sebastião do Uatumã",1
"130406 Tabatinga",11
"130410 Tapauá",2
"130420 Tefé",15
"130423 Tonantins",1
"130430 Urucará",1
"130440 Urucurituba",3
"140005 Alto Alegre",2
"140002 Amajari",1
"140010 Boa Vista",125
"140017 Cantá",8
"140020 Caracaraí",17
