"cidade","sgestante"
"110001 Alta Floresta D'Oeste",12
"110037 Alto Alegre dos Parecis",2
"110040 Alto Paraíso",11
"110034 Alvorada D'Oeste",7
"110002 Ariquemes",89
"110045 Buritis",36
"110003 Cabixi",5
"110060 Cacaulândia",2
"110004 Cacoal",76
"110070 Campo Novo de Rondônia",5
"110080 Candeias do Jamari",49
"110090 Castanheiras",2
"110005 Cerejeiras",7
"110092 Chupinguaia",10
"110006 Colorado do Oeste",8
"110007 Corumbiara",4
"110008 Costa Marques",6
"110094 Cujubim",13
"110009 Espigão D'Oeste",17
"110100 Governador Jorge Teixeira",1
"110010 Guajará-Mirim",26
"110110 Itapuã do Oeste",2
"110011 Jaru",26
"110012 Ji-Paraná",67
"110013 Machadinho D'Oeste",25
"110120 Ministro Andreazza",2
"110130 Mirante da Serra",5
"110140 Monte Negro",6
"110014 Nova Brasilândia D'Oeste",4
"110033 Nova Mamoré",1
"110143 Nova União",1
"110050 Novo Horizonte do Oeste",2
"110015 Ouro Preto do Oeste",10
"110145 Parecis",5
"110018 Pimenta Bueno",43
"110020 Porto Velho",635
"110025 Presidente Médici",11
"110147 Primavera de Rondônia",1
"110026 Rio Crespo",4
"110028 Rolim de Moura",59
"110029 Santa Luzia D'Oeste",7
"110148 São Felipe D'Oeste",2
"110149 São Francisco do Guaporé",20
"110032 São Miguel do Guaporé",8
"110150 Seringueiras",7
"110170 Urupá",5
"110175 Vale do Anari",3
"110180 Vale do Paraíso",2
"110030 Vilhena",113
"110000 Município ignorado - RO",1
"120001 Acrelândia",16
"120005 Assis Brasil",19
"120010 Brasiléia",57
"120013 Bujari",34
"120017 Capixaba",42
"120020 Cruzeiro do Sul",112
"120025 Epitaciolândia",39
"120030 Feijó",46
"120032 Jordão",8
"120033 Mâncio Lima",23
"120034 Manoel Urbano",13
"120035 Marechal Thaumaturgo",9
"120038 Plácido de Castro",34
"120080 Porto Acre",62
"120039 Porto Walter",1
"120040 Rio Branco",1338
"120042 Rodrigues Alves",13
"120043 Santa Rosa do Purus",12
"120050 Sena Madureira",57
"120045 Senador Guiomard",89
"120060 Tarauacá",171
"120070 Xapuri",42
"130002 Alvarães",14
"130006 Amaturá",3
"130008 Anamã",16
"130010 Anori",28
"130014 Apuí",6
"130020 Atalaia do Norte",5
"130030 Autazes",28
"130040 Barcelos",10
"130050 Barreirinha",20
"130060 Benjamin Constant",41
"130063 Beruri",12
"130068 Boa Vista do Ramos",7
"130070 Boca do Acre",19
"130080 Borba",47
"130083 Caapiranga",4
"130090 Canutama",5
"130100 Carauari",44
"130110 Careiro",53
"130115 Careiro da Várzea",10
"130120 Coari",137
"130130 Codajás",15
"130140 Eirunepé",47
"130150 Envira",22
"130160 Fonte Boa",4
"130165 Guajará",15
"130170 Humaitá",86
"130180 Ipixuna",5
"130185 Iranduba",77
"130190 Itacoatiara",78
"130195 Itamarati",1
"130200 Itapiranga",6
"130210 Japurá",5
"130220 Juruá",2
"130230 Jutaí",16
"130240 Lábrea",41
"130250 Manacapuru",78
"130255 Manaquiri",17
"130260 Manaus",5434
"130270 Manicoré",31
"130280 Maraã",20
"130290 Maués",48
"130300 Nhamundá",3
"130310 Nova Olinda do Norte",41
"130320 Novo Airão",23
"130330 Novo Aripuanã",28
"130340 Parintins",85
"130350 Pauini",21
"130353 Presidente Figueiredo",26
"130356 Rio Preto da Eva",29
"130360 Santa Isabel do Rio Negro",10
"130370 Santo Antônio do Içá",21
"130380 São Gabriel da Cachoeira",22
"130390 São Paulo de Olivença",26
"130395 São Sebastião do Uatumã",4
"130400 Silves",3
"130406 Tabatinga",138
"130410 Tapauá",7
"130420 Tefé",91
"130423 Tonantins",6
"130426 Uarini",6
"130430 Urucará",5
"130440 Urucurituba",21
"140005 Alto Alegre",18
"140002 Amajari",8
"140010 Boa Vista",607
"140015 Bonfim",8
"140017 Cantá",17
"140020 Caracaraí",37
"140023 Caroebe",9
"140028 Iracema",4
"140030 Mucajaí",24
"140040 Normandia",7
"140045 Pacaraima",17
"140047 Rorainópolis",28
"140050 São João da Baliza",2
"140060 São Luiz",5
"140070 Uiramutã",6
"150010 Abaetetuba",79
"150013 Abel Figueiredo",5
"150020 Acará",49
"150030 Afuá",50
"150034 Água Azul do Norte",8
"150040 Alenquer",55
"150050 Almeirim",7
"150060 Altamira",218
"150070 Anajás",6
"150080 Ananindeua",531
"150085 Anapu",67
"150090 Augusto Corrêa",48
"150095 Aurora do Pará",25
"150100 Aveiro",8
"150110 Bagre",7
"150120 Baião",34
"150125 Bannach",2
"150130 Barcarena",114
"150140 Belém",1328
"150145 Belterra",9
"150150 Benevides",86
"150157 Bom Jesus do Tocantins",18
"150160 Bonito",3
"150170 Bragança",77
"150172 Brasil Novo",16
"150175 Brejo Grande do Araguaia",5
"150178 Breu Branco",34
"150180 Breves",116
"150190 Bujaru",12
"150200 Cachoeira do Arari",13
"150195 Cachoeira do Piriá",8
"150210 Cametá",164
"150215 Canaã dos Carajás",83
"150220 Capanema",32
"150230 Capitão Poço",12
"150240 Castanhal",109
"150250 Chaves",8
"150260 Colares",16
"150270 Conceição do Araguaia",26
"150275 Concórdia do Pará",25
"150276 Cumaru do Norte",4
"150277 Curionópolis",54
"150280 Curralinho",11
"150285 Curuá",7
"150290 Curuçá",43
"150293 Dom Eliseu",52
"150295 Eldorado do Carajás",45
"150300 Faro",2
"150304 Floresta do Araguaia",18
"150307 Garrafão do Norte",11
"150309 Goianésia do Pará",18
"150310 Gurupá",11
"150320 Igarapé-Açu",39
"150330 Igarapé-Miri",33
"150340 Inhangapi",7
"150345 Ipixuna do Pará",29
"150350 Irituia",45
"150360 Itaituba",401
"150370 Itupiranga",83
"150375 Jacareacanga",13
"150380 Jacundá",53
"150390 Juruti",32
"150400 Limoeiro do Ajuru",28
"150405 Mãe do Rio",35
"150410 Magalhães Barata",13
"150420 Marabá",809
"150430 Maracanã",30
"150440 Marapanim",31
"150442 Marituba",173
"150445 Medicilândia",9
"150450 Melgaço",7
"150460 Mocajuba",29
"150470 Moju",120
"150475 Mojuí dos Campos",8
"150480 Monte Alegre",62
"150490 Muaná",27
"150495 Nova Esperança do Piriá",14
"150497 Nova Ipixuna",21
"150500 Nova Timboteua",3
"150503 Novo Progresso",86
"150506 Novo Repartimento",35
"150510 Óbidos",68
"150520 Oeiras do Pará",65
"150530 Oriximiná",80
"150540 Ourém",9
"150543 Ourilândia do Norte",26
"150548 Pacajá",18
"150549 Palestina do Pará",7
"150550 Paragominas",88
"150553 Parauapebas",352
"150555 Pau D'Arco",8
"150560 Peixe-Boi",4
"150563 Piçarra",9
"150565 Placas",6
"150570 Ponta de Pedras",19
"150580 Portel",42
"150590 Porto de Moz",20
"150600 Prainha",56
"150610 Primavera",5
"150611 Quatipuru",16
"150613 Redenção",75
"150616 Rio Maria",17
"150618 Rondon do Pará",15
"150619 Rurópolis",19
"150620 Salinópolis",57
"150630 Salvaterra",20
"150635 Santa Bárbara do Pará",21
"150640 Santa Cruz do Arari",4
"150650 Santa Izabel do Pará",68
"150655 Santa Luzia do Pará",26
"150660 Santa Maria do Pará",8
"150670 Santana do Araguaia",52
"150680 Santarém",506
"150690 Santarém Novo",6
"150700 Santo Antônio do Tauá",19
"150710 São Caetano de Odivelas",13
"150715 São Domingos do Araguaia",22
"150720 São Domingos do Capim",27
"150730 São Félix do Xingu",63
"150740 São Francisco do Pará",14
"150745 São Geraldo do Araguaia",27
"150746 São João da Ponta",3
"150747 São João de Pirabas",22
"150750 São João do Araguaia",20
"150760 São Miguel do Guamá",46
"150770 São Sebastião da Boa Vista",39
"150775 Sapucaia",21
"150780 Senador José Porfírio",17
"150790 Soure",13
"150795 Tailândia",160
"150796 Terra Alta",12
"150797 Terra Santa",32
"150800 Tomé-Açu",107
"150803 Tracuateua",23
"150805 Trairão",26
"150808 Tucumã",15
"150810 Tucuruí",109
"150812 Ulianópolis",41
"150815 Uruará",18
"150820 Vigia",33
"150830 Viseu",16
"150835 Vitória do Xingu",31
"150840 Xinguara",53
"160010 Amapá",16
"160020 Calçoene",27
"160021 Cutias",6
"160023 Ferreira Gomes",14
"160025 Itaubal",3
"160027 Laranjal do Jari",66
"160030 Macapá",721
"160040 Mazagão",29
"160050 Oiapoque",22
"160015 Pedra Branca do Amapari",10
"160053 Porto Grande",19
"160055 Pracuúba",2
"160060 Santana",155
"160005 Serra do Navio",8
"160070 Tartarugalzinho",14
"160080 Vitória do Jari",17
"170025 Abreulândia",1
"170035 Aliança do Tocantins",4
"170040 Almas",2
"170070 Alvorada",8
"170100 Ananás",31
"170105 Angico",1
"170110 Aparecida do Rio Negro",14
"170130 Aragominas",4
"170190 Araguacema",4
"170200 Araguaçu",12
"170210 Araguaína",300
"170215 Araguanã",3
"170220 Araguatins",54
"170230 Arapoema",5
"170240 Arraias",6
"170255 Augustinópolis",46
"170290 Axixá do Tocantins",7
"170300 Babaçulândia",9
"170307 Barra do Ouro",11
"170310 Barrolândia",2
"170320 Bernardo Sayão",2
"170330 Bom Jesus do Tocantins",10
"170360 Brasilândia do Tocantins",3
"170370 Brejinho de Nazaré",2
"170380 Buriti do Tocantins",11
"170382 Cachoeirinha",3
"170384 Campos Lindos",9
