"cidade","toxico"
"110001 Alta Floresta D'Oeste",186
"110037 Alto Alegre dos Parecis",31
"110040 Alto Paraíso",18
"110034 Alvorada D'Oeste",35
"110002 Ariquemes",321
"110045 Buritis",105
"110003 Cabixi",14
"110060 Cacaulândia",4
"110004 Cacoal",157
"110070 Campo Novo de Rondônia",66
"110080 Candeias do Jamari",19
"110090 Castanheiras",13
"110005 Cerejeiras",7
"110092 Chupinguaia",7
"110006 Colorado do Oeste",7
"110007 Corumbiara",3
"110008 Costa Marques",15
"110094 Cujubim",94
"110009 Espigão D'Oeste",22
"110100 Governador Jorge Teixeira",5
"110010 Guajará-Mirim",94
"110110 Itapuã do Oeste",12
"110011 Jaru",97
"110012 Ji-Paraná",261
"110013 Machadinho D'Oeste",112
"110120 Ministro Andreazza",9
"110130 Mirante da Serra",17
"110140 Monte Negro",47
"110014 Nova Brasilândia D'Oeste",98
"110033 Nova Mamoré",17
"110143 Nova União",19
"110050 Novo Horizonte do Oeste",8
"110015 Ouro Preto do Oeste",31
"110145 Parecis",10
"110018 Pimenta Bueno",49
"110146 Pimenteiras do Oeste",2
"110020 Porto Velho",573
"110025 Presidente Médici",9
"110147 Primavera de Rondônia",13
"110026 Rio Crespo",2
"110028 Rolim de Moura",238
"110029 Santa Luzia D'Oeste",46
"110148 São Felipe D'Oeste",5
"110149 São Francisco do Guaporé",74
"110032 São Miguel do Guaporé",42
"110150 Seringueiras",10
"110155 Teixeirópolis",4
"110170 Urupá",23
"110175 Vale do Anari",3
"110180 Vale do Paraíso",7
"110030 Vilhena",400
"120001 Acrelândia",20
"120005 Assis Brasil",1
"120010 Brasiléia",38
"120013 Bujari",6
"120017 Capixaba",18
"120020 Cruzeiro do Sul",307
"120025 Epitaciolândia",33
"120030 Feijó",15
"120033 Mâncio Lima",31
"120034 Manoel Urbano",4
"120035 Marechal Thaumaturgo",3
"120038 Plácido de Castro",18
"120080 Porto Acre",5
"120039 Porto Walter",23
"120040 Rio Branco",735
"120042 Rodrigues Alves",39
"120043 Santa Rosa do Purus",5
"120050 Sena Madureira",32
"120045 Senador Guiomard",113
"120060 Tarauacá",10
"120070 Xapuri",39
"130002 Alvarães",8
"130008 Anamã",2
"130014 Apuí",502
"130020 Atalaia do Norte",2
"130030 Autazes",5
"130060 Benjamin Constant",72
"130063 Beruri",1
"130068 Boa Vista do Ramos",3
"130070 Boca do Acre",1
"130080 Borba",25
"130090 Canutama",12
"130100 Carauari",4
"130115 Careiro da Várzea",4
"130120 Coari",3
"130130 Codajás",10
"130140 Eirunepé",11
"130150 Envira",15
"130160 Fonte Boa",2
"130165 Guajará",17
"130170 Humaitá",49
"130180 Ipixuna",1
"130185 Iranduba",19
"130190 Itacoatiara",658
"130200 Itapiranga",1
"130210 Japurá",1
"130240 Lábrea",5
"130250 Manacapuru",96
"130260 Manaus",4379
"130270 Manicoré",7
"130280 Maraã",7
"130290 Maués",6
"130310 Nova Olinda do Norte",2
"130320 Novo Airão",2
"130330 Novo Aripuanã",9
"130340 Parintins",38
"130353 Presidente Figueiredo",9
"130356 Rio Preto da Eva",14
"130360 Santa Isabel do Rio Negro",1
"130395 São Sebastião do Uatumã",2
"130400 Silves",6
"130406 Tabatinga",245
"130410 Tapauá",1
"130420 Tefé",63
"130430 Urucará",3
"130440 Urucurituba",4
"140005 Alto Alegre",396
"140002 Amajari",12
"140010 Boa Vista",1848
"140015 Bonfim",38
"140017 Cantá",34
"140020 Caracaraí",99
"140023 Caroebe",32
"140028 Iracema",96
"140030 Mucajaí",124
"140040 Normandia",2
"140045 Pacaraima",8
"140047 Rorainópolis",283
"140050 São João da Baliza",37
"140060 São Luiz",30
"140070 Uiramutã",9
"150010 Abaetetuba",61
"150020 Acará",17
"150030 Afuá",9
"150034 Água Azul do Norte",3
"150040 Alenquer",1
"150050 Almeirim",4
"150060 Altamira",33
"150080 Ananindeua",12
"150085 Anapu",2
"150090 Augusto Corrêa",2
"150095 Aurora do Pará",3
"150100 Aveiro",1
"150120 Baião",6
"150125 Bannach",17
"150130 Barcarena",226
"150140 Belém",248
"150145 Belterra",15
"150150 Benevides",6
"150157 Bom Jesus do Tocantins",1
"150160 Bonito",23
"150170 Bragança",28
"150172 Brasil Novo",46
"150175 Brejo Grande do Araguaia",1
"150178 Breu Branco",32
"150180 Breves",5
"150190 Bujaru",1
"150200 Cachoeira do Arari",2
"150195 Cachoeira do Piriá",1
"150215 Canaã dos Carajás",18
"150220 Capanema",46
"150230 Capitão Poço",18
"150240 Castanhal",93
"150250 Chaves",2
"150260 Colares",4
"150270 Conceição do Araguaia",156
"150275 Concórdia do Pará",5
"150276 Cumaru do Norte",2
"150277 Curionópolis",14
"150280 Curralinho",6
"150285 Curuá",2
"150290 Curuçá",9
"150293 Dom Eliseu",5
"150295 Eldorado do Carajás",9
"150300 Faro",1
"150304 Floresta do Araguaia",5
"150309 Goianésia do Pará",10
"150320 Igarapé-Açu",8
"150330 Igarapé-Miri",1
"150340 Inhangapi",5
"150345 Ipixuna do Pará",18
"150350 Irituia",34
"150360 Itaituba",49
"150370 Itupiranga",7
"150375 Jacareacanga",2
"150380 Jacundá",9
"150400 Limoeiro do Ajuru",10
"150405 Mãe do Rio",2
"150410 Magalhães Barata",3
"150420 Marabá",276
"150430 Maracanã",1
"150440 Marapanim",2
"150442 Marituba",7
"150445 Medicilândia",7
"150460 Mocajuba",1
"150470 Moju",10
"150475 Mojuí dos Campos",3
"150480 Monte Alegre",2
"150490 Muaná",2
"150495 Nova Esperança do Piriá",10
"150497 Nova Ipixuna",3
"150500 Nova Timboteua",2
"150503 Novo Progresso",67
"150506 Novo Repartimento",51
"150530 Oriximiná",14
"150540 Ourém",1
"150543 Ourilândia do Norte",5
"150548 Pacajá",4
"150549 Palestina do Pará",6
"150550 Paragominas",86
"150553 Parauapebas",84
"150555 Pau D'Arco",1
"150560 Peixe-Boi",9
"150563 Piçarra",22
"150565 Placas",16
"150590 Porto de Moz",7
"150600 Prainha",1
"150610 Primavera",2
"150611 Quatipuru",8
"150613 Redenção",40
"150616 Rio Maria",10
"150618 Rondon do Pará",14
"150619 Rurópolis",21
"150630 Salvaterra",1
"150635 Santa Bárbara do Pará",1
"150650 Santa Izabel do Pará",20
"150655 Santa Luzia do Pará",59
"150658 Santa Maria das Barreiras",14
"150660 Santa Maria do Pará",9
"150670 Santana do Araguaia",47
"150680 Santarém",91
"150700 Santo Antônio do Tauá",9
"150715 São Domingos do Araguaia",7
"150720 São Domingos do Capim",3
"150730 São Félix do Xingu",2
"150740 São Francisco do Pará",16
"150745 São Geraldo do Araguaia",22
"150746 São João da Ponta",6
"150747 São João de Pirabas",2
"150750 São João do Araguaia",1
"150760 São Miguel do Guamá",17
"150770 São Sebastião da Boa Vista",1
"150780 Senador José Porfírio",9
"150795 Tailândia",168
"150796 Terra Alta",7
"150797 Terra Santa",1
"150800 Tomé-Açu",33
"150803 Tracuateua",7
"150805 Trairão",6
"150808 Tucumã",11
"150810 Tucuruí",124
"150812 Ulianópolis",31
"150815 Uruará",4
"150820 Vigia",31
"150830 Viseu",1
"150835 Vitória do Xingu",7
"150840 Xinguara",17
"160023 Ferreira Gomes",2
"160025 Itaubal",1
"160027 Laranjal do Jari",22
"160030 Macapá",172
"160053 Porto Grande",1
"160060 Santana",7
"160080 Vitória do Jari",3
"170025 Abreulândia",13
"170030 Aguiarnópolis",2
"170035 Aliança do Tocantins",12
"170040 Almas",16
"170070 Alvorada",32
"170100 Ananás",50
"170105 Angico",2
"170110 Aparecida do Rio Negro",34
"170130 Aragominas",13
"170190 Araguacema",3
"170200 Araguaçu",47
"170210 Araguaína",1797
"170215 Araguanã",9
"170220 Araguatins",85
"170230 Arapoema",15
"170240 Arraias",30
"170255 Augustinópolis",16
"170270 Aurora do Tocantins",1
"170290 Axixá do Tocantins",3
"170300 Babaçulândia",27
"170305 Bandeirantes do Tocantins",12
"170307 Barra do Ouro",12
"170310 Barrolândia",7
"170320 Bernardo Sayão",18
"170330 Bom Jesus do Tocantins",12
"170360 Brasilândia do Tocantins",19
"170370 Brejinho de Nazaré",31
"170380 Buriti do Tocantins",3
"170384 Campos Lindos",21
"170386 Cariri do Tocantins",32
"170388 Carmolândia",25
"170389 Carrasco Bonito",3
"170390 Caseara",7
"170410 Centenário",6
"170510 Chapada da Natividade",4
"170460 Chapada de Areia",5
"170550 Colinas do Tocantins",296
"171670 Colméia",15
