"cidade","tuberculose"
"110001 Alta Floresta D'Oeste",26
"110037 Alto Alegre dos Parecis",4
"110040 Alto Paraíso",12
"110034 Alvorada D'Oeste",9
"110002 Ariquemes",177
"110045 Buritis",31
"110003 Cabixi",2
"110060 Cacaulândia",5
"110004 Cacoal",97
"110070 Campo Novo de Rondônia",7
"110080 Candeias do Jamari",76
"110090 Castanheiras",4
"110005 Cerejeiras",12
"110092 Chupinguaia",11
"110006 Colorado do Oeste",7
"110007 Corumbiara",8
"110008 Costa Marques",12
"110094 Cujubim",18
"110009 Espigão D'Oeste",35
"110100 Governador Jorge Teixeira",4
"110010 Guajará-Mirim",117
"110110 Itapuã do Oeste",32
"110011 Jaru",55
"110012 Ji-Paraná",182
"110013 Machadinho D'Oeste",26
"110120 Ministro Andreazza",5
"110130 Mirante da Serra",6
"110140 Monte Negro",10
"110014 Nova Brasilândia D'Oeste",13
"110033 Nova Mamoré",39
"110143 Nova União",1
"110050 Novo Horizonte do Oeste",2
"110015 Ouro Preto do Oeste",42
"110145 Parecis",3
"110018 Pimenta Bueno",33
"110146 Pimenteiras do Oeste",2
"110020 Porto Velho",2279
"110025 Presidente Médici",15
"110147 Primavera de Rondônia",1
"110026 Rio Crespo",4
"110028 Rolim de Moura",34
"110029 Santa Luzia D'Oeste",5
"110148 São Felipe D'Oeste",4
"110149 São Francisco do Guaporé",8
"110032 São Miguel do Guaporé",8
"110150 Seringueiras",3
"110155 Teixeirópolis",5
"110160 Theobroma",8
"110170 Urupá",14
"110175 Vale do Anari",7
"110180 Vale do Paraíso",5
"110030 Vilhena",79
"110000 Município ignorado - RO",2
"120001 Acrelândia",21
"120005 Assis Brasil",37
"120010 Brasiléia",54
"120013 Bujari",40
"120017 Capixaba",11
"120020 Cruzeiro do Sul",102
"120025 Epitaciolândia",21
"120030 Feijó",28
"120033 Mâncio Lima",12
"120034 Manoel Urbano",30
"120035 Marechal Thaumaturgo",15
"120038 Plácido de Castro",58
"120080 Porto Acre",53
"120039 Porto Walter",4
"120040 Rio Branco",1560
"120042 Rodrigues Alves",8
"120043 Santa Rosa do Purus",30
"120050 Sena Madureira",83
"120045 Senador Guiomard",84
"120060 Tarauacá",68
"120070 Xapuri",24
"130002 Alvarães",14
"130006 Amaturá",16
"130008 Anamã",22
"130010 Anori",21
"130014 Apuí",18
"130020 Atalaia do Norte",41
"130030 Autazes",183
"130040 Barcelos",66
"130050 Barreirinha",61
"130060 Benjamin Constant",91
"130063 Beruri",36
"130068 Boa Vista do Ramos",32
"130070 Boca do Acre",148
"130080 Borba",103
"130083 Caapiranga",30
"130090 Canutama",23
"130100 Carauari",43
"130110 Careiro",55
"130115 Careiro da Várzea",24
"130120 Coari",212
"130130 Codajás",56
"130140 Eirunepé",51
"130150 Envira",38
"130160 Fonte Boa",46
"130165 Guajará",6
"130170 Humaitá",135
"130180 Ipixuna",46
"130185 Iranduba",235
"130190 Itacoatiara",261
"130195 Itamarati",14
"130200 Itapiranga",15
"130210 Japurá",8
"130220 Juruá",10
"130230 Jutaí",31
"130240 Lábrea",92
"130250 Manacapuru",393
"130255 Manaquiri",47
"130260 Manaus",13301
"130270 Manicoré",101
"130280 Maraã",20
"130290 Maués",197
"130300 Nhamundá",42
"130310 Nova Olinda do Norte",98
"130320 Novo Airão",44
"130330 Novo Aripuanã",43
"130340 Parintins",278
"130350 Pauini",35
"130353 Presidente Figueiredo",98
"130356 Rio Preto da Eva",67
"130360 Santa Isabel do Rio Negro",32
"130370 Santo Antônio do Içá",35
"130380 São Gabriel da Cachoeira",262
"130390 São Paulo de Olivença",46
"130395 São Sebastião do Uatumã",17
"130400 Silves",39
"130406 Tabatinga",244
"130410 Tapauá",33
"130420 Tefé",272
"130423 Tonantins",21
"130426 Uarini",5
"130430 Urucará",30
"130440 Urucurituba",43
"140005 Alto Alegre",67
"140002 Amajari",40
"140010 Boa Vista",777
"140015 Bonfim",31
"140017 Cantá",32
"140020 Caracaraí",28
"140023 Caroebe",7
"140028 Iracema",7
"140030 Mucajaí",19
"140040 Normandia",20
"140045 Pacaraima",45
"140047 Rorainópolis",41
"140050 São João da Baliza",1
"140060 São Luiz",3
"140070 Uiramutã",9
"150010 Abaetetuba",284
"150013 Abel Figueiredo",9
"150020 Acará",92
"150030 Afuá",11
"150034 Água Azul do Norte",4
"150040 Alenquer",84
"150050 Almeirim",35
"150060 Altamira",269
"150070 Anajás",33
"150080 Ananindeua",2136
"150085 Anapu",20
"150090 Augusto Corrêa",48
"150095 Aurora do Pará",19
"150100 Aveiro",9
"150110 Bagre",26
"150120 Baião",48
"150125 Bannach",2
"150130 Barcarena",311
"150140 Belém",8073
"150145 Belterra",30
"150150 Benevides",231
"150157 Bom Jesus do Tocantins",20
"150160 Bonito",17
"150170 Bragança",322
"150172 Brasil Novo",32
"150175 Brejo Grande do Araguaia",4
"150178 Breu Branco",70
"150180 Breves",182
"150190 Bujaru",47
"150200 Cachoeira do Arari",30
"150195 Cachoeira do Piriá",28
"150210 Cametá",283
"150215 Canaã dos Carajás",90
"150220 Capanema",173
"150230 Capitão Poço",66
"150240 Castanhal",532
"150250 Chaves",9
"150260 Colares",27
"150270 Conceição do Araguaia",38
"150275 Concórdia do Pará",39
"150276 Cumaru do Norte",42
"150277 Curionópolis",25
"150280 Curralinho",31
"150285 Curuá",14
"150290 Curuçá",140
"150293 Dom Eliseu",49
"150295 Eldorado do Carajás",24
"150300 Faro",10
"150304 Floresta do Araguaia",13
"150307 Garrafão do Norte",32
"150309 Goianésia do Pará",44
"150310 Gurupá",27
"150320 Igarapé-Açu",128
"150330 Igarapé-Miri",95
"150340 Inhangapi",20
"150345 Ipixuna do Pará",44
"150350 Irituia",43
"150360 Itaituba",299
"150370 Itupiranga",60
"150375 Jacareacanga",107
"150380 Jacundá",56
"150390 Juruti",91
"150400 Limoeiro do Ajuru",23
"150405 Mãe do Rio",66
"150410 Magalhães Barata",32
"150420 Marabá",529
"150430 Maracanã",85
"150440 Marapanim",67
"150442 Marituba",1035
"150445 Medicilândia",31
"150450 Melgaço",30
"150460 Mocajuba",59
"150470 Moju",95
"150475 Mojuí dos Campos",23
"150480 Monte Alegre",54
"150490 Muaná",55
"150495 Nova Esperança do Piriá",41
"150497 Nova Ipixuna",11
"150500 Nova Timboteua",21
"150503 Novo Progresso",80
"150506 Novo Repartimento",51
"150510 Óbidos",80
"150520 Oeiras do Pará",44
"150530 Oriximiná",144
"150540 Ourém",31
"150543 Ourilândia do Norte",71
"150548 Pacajá",53
"150549 Palestina do Pará",8
"150550 Paragominas",287
"150553 Parauapebas",334
"150555 Pau D'Arco",15
"150560 Peixe-Boi",17
"150563 Piçarra",7
"150565 Placas",38
"150570 Ponta de Pedras",39
"150580 Portel",72
"150590 Porto de Moz",50
"150600 Prainha",27
"150610 Primavera",32
"150611 Quatipuru",39
"150613 Redenção",122
"150616 Rio Maria",15
"150618 Rondon do Pará",39
"150619 Rurópolis",17
"150620 Salinópolis",158
"150630 Salvaterra",47
"150635 Santa Bárbara do Pará",105
"150640 Santa Cruz do Arari",23
"150650 Santa Izabel do Pará",971
"150655 Santa Luzia do Pará",33
"150658 Santa Maria das Barreiras",11
"150660 Santa Maria do Pará",35
"150670 Santana do Araguaia",22
"150680 Santarém",629
"150690 Santarém Novo",26
"150700 Santo Antônio do Tauá",62
"150710 São Caetano de Odivelas",36
"150715 São Domingos do Araguaia",16
"150720 São Domingos do Capim",35
"150730 São Félix do Xingu",77
"150740 São Francisco do Pará",48
"150745 São Geraldo do Araguaia",20
"150746 São João da Ponta",8
"150747 São João de Pirabas",47
"150750 São João do Araguaia",19
"150760 São Miguel do Guamá",125
"150770 São Sebastião da Boa Vista",43
"150775 Sapucaia",3
"150780 Senador José Porfírio",25
"150790 Soure",87
"150795 Tailândia",107
"150796 Terra Alta",42
"150797 Terra Santa",32
"150800 Tomé-Açu",143
"150803 Tracuateua",57
"150805 Trairão",21
"150808 Tucumã",40
"150810 Tucuruí",285
"150812 Ulianópolis",40
"150815 Uruará",45
"150820 Vigia",161
"150830 Viseu",77
"150835 Vitória do Xingu",37
"150840 Xinguara",51
"160010 Amapá",12
"160020 Calçoene",28
"160021 Cutias",8
"160023 Ferreira Gomes",13
"160025 Itaubal",6
"160027 Laranjal do Jari",87
"160030 Macapá",917
"160040 Mazagão",26
"160050 Oiapoque",60
"160015 Pedra Branca do Amapari",18
"160053 Porto Grande",35
"160055 Pracuúba",4
"160060 Santana",167
"160005 Serra do Navio",1
"160070 Tartarugalzinho",12
"160080 Vitória do Jari",11
"170025 Abreulândia",1
"170030 Aguiarnópolis",1
"170035 Aliança do Tocantins",5
"170040 Almas",8
"170070 Alvorada",3
"170100 Ananás",1
"170105 Angico",3
"170130 Aragominas",4
"170190 Araguacema",6
"170200 Araguaçu",1
"170210 Araguaína",163
"170215 Araguanã",3
"170220 Araguatins",23
"170230 Arapoema",4
"170240 Arraias",10
"170255 Augustinópolis",9
"170270 Aurora do Tocantins",7
"170290 Axixá do Tocantins",9
"170300 Babaçulândia",5
"170305 Bandeirantes do Tocantins",1
"170310 Barrolândia",2
"170320 Bernardo Sayão",2
"170360 Brasilândia do Tocantins",1
"170370 Brejinho de Nazaré",2
"170380 Buriti do Tocantins",2
"170384 Campos Lindos",1
"170386 Cariri do Tocantins",10
"170389 Carrasco Bonito",2
"170390 Caseara",4
"170510 Chapada da Natividade",9
"170550 Colinas do Tocantins",40
"171670 Colméia",1
"170555 Combinado",9
"170560 Conceição do Tocantins",4
"170600 Couto Magalhães",1
"170610 Cristalândia",5
"170625 Crixás do Tocantins",2
"170650 Darcinópolis",1
"170700 Dianópolis",18
"170710 Divinópolis do Tocantins",2
"170720 Dois Irmãos do Tocantins",5
"170730 Dueré",1
"170740 Esperantina",1
"170755 Fátima",2
"170765 Figueirópolis",2
"170770 Filadélfia",5
"170820 Formoso do Araguaia",7
"170825 Fortaleza do Tabocão",2
"170830 Goianorte",2
"170900 Goiatins",23
"170930 Guaraí",9
"170950 Gurupi",44
"170980 Ipueiras",1
"171050 Itacajá",10
"171070 Itaguatins",3
"171110 Itaporã do Tocantins",1
"171180 Juarina",3
"171190 Lagoa da Confusão",36
"171195 Lagoa do Tocantins",3
"171200 Lajeado",6
"171215 Lavandeira",3
"171240 Lizarda",1
"171245 Luzinópolis",2
"171250 Marianópolis do Tocantins",1
"171270 Mateiros",1
"171320 Miracema do Tocantins",11
"171330 Miranorte",6
"171360 Monte do Carmo",9
"171370 Monte Santo do Tocantins",1
"171420 Natividade",7
"171430 Nazaré",3
"171488 Nova Olinda",2
"171500 Nova Rosalândia",4
"171510 Novo Acordo",1
"171525 Novo Jardim",1
"171550 Oliveira de Fátima",1
"172100 Palmas",180
"171570 Palmeirante",3
"171380 Palmeiras do Tocantins",3
"171575 Palmeirópolis",1
"171610 Paraíso do Tocantins",28
"171620 Paranã",8
"171630 Pau D'Arco",2
"171650 Pedro Afonso",8
"171660 Peixe",7
"171665 Pequizeiro",2
"171700 Pindorama do Tocantins",4
"171750 Pium",11
"171780 Ponte Alta do Bom Jesus",2
"171790 Ponte Alta do Tocantins",2
"171820 Porto Nacional",58
"171830 Praia Norte",4
"171845 Pugmil",1
"171855 Riachinho",3
"171865 Rio da Conceição",1
"171870 Rio dos Bois",2
"171880 Sampaio",2
"171886 Santa Fé do Araguaia",2
"171889 Santa Rita do Tocantins",2
"171890 Santa Rosa do Tocantins",3
"171900 Santa Tereza do Tocantins",1
"172000 Santa Terezinha do Tocantins",2
"172010 São Bento do Tocantins",3
"172015 São Félix do Tocantins",6
"172020 São Miguel do Tocantins",5
"172025 São Salvador do Tocantins",1
"172030 São Sebastião do Tocantins",1
"172049 São Valério",2
"172065 Silvanópolis",3
"172080 Sítio Novo do Tocantins",6
"172085 Sucupira",1
"172090 Taguatinga",16
"172097 Talismã",2
"172110 Tocantínia",18
"172120 Tocantinópolis",27
"172125 Tupirama",1
"172130 Tupiratins",2
"172208 Wanderlândia",14
"172210 Xambioá",16
"210005 Açailândia",180
"210010 Afonso Cunha",7
"210015 Água Doce do Maranhão",10
"210020 Alcântara",32
"210030 Aldeias Altas",37
"210040 Altamira do Maranhão",13
"210043 Alto Alegre do Maranhão",18
"210047 Alto Alegre do Pindaré",55
"210050 Alto Parnaíba",6
"210055 Amapá do Maranhão",13
"210060 Amarante do Maranhão",71
"210070 Anajatuba",20
"210080 Anapurus",9
"210083 Apicum-Açu",27
"210087 Araguanã",15
"210090 Araioses",40
"210095 Arame",31
"210100 Arari",48
"210110 Axixá",17
"210120 Bacabal",202
"210125 Bacabeira",21
"210130 Bacuri",24
"210135 Bacurituba",6
"210140 Balsas",171
"210150 Barão de Grajaú",15
"210160 Barra do Corda",176
"210170 Barreirinhas",62
"210177 Bela Vista do Maranhão",11
"210173 Belágua",1
"210180 Benedito Leite",10
"210190 Bequimão",32
"210193 Bernardo do Mearim",9
"210197 Boa Vista do Gurupi",10
"210200 Bom Jardim",72
"210203 Bom Jesus das Selvas",23
"210207 Bom Lugar",13
"210210 Brejo",22
"210215 Brejo de Areia",4
"210220 Buriti",24
"210230 Buriti Bravo",11
"210232 Buriticupu",64
"210235 Buritirana",4
"210237 Cachoeira Grande",7
"210240 Cajapió",7
"210250 Cajari",33
"210255 Campestre do Maranhão",17
"210260 Cândido Mendes",20
"210270 Cantanhede",39
"210275 Capinzal do Norte",7
"210280 Carolina",43
"210290 Carutapera",39
"210300 Caxias",321
"210310 Cedral",13
"210312 Central do Maranhão",1
"210315 Centro do Guilherme",18
