"cidade","autoprovocada_sim","autoprovocada_não","autoprovocada_ignorado","autoprovocada_branco","violencia"
"110001 Alta Floresta D'Oeste",24,79,9,5,117
"110037 Alto Alegre dos Parecis",1,3,-,-,4
"110040 Alto Paraíso",-,9,1,-,10
"110034 Alvorada D'Oeste",26,24,1,-,51
"110002 Ariquemes",146,250,36,12,444
"110045 Buritis",31,90,3,-,124
"110003 Cabixi",-,1,-,-,1
"110060 Cacaulândia",1,2,-,-,3
"110004 Cacoal",184,132,-,-,316
"110070 Campo Novo de Rondônia",4,13,-,-,17
"110080 Candeias do Jamari",1,8,-,-,9
"110090 Castanheiras",2,6,-,-,8
"110005 Cerejeiras",2,3,1,1,7
"110006 Colorado do Oeste",1,-,-,-,1
"110007 Corumbiara",-,5,-,-,5
"110008 Costa Marques",1,48,6,-,55
"110094 Cujubim",-,33,3,3,39
"110009 Espigão D'Oeste",-,2,-,-,2
"110100 Governador Jorge Teixeira",5,3,-,-,8
"110010 Guajará-Mirim",59,97,2,1,159
"110110 Itapuã do Oeste",-,6,1,-,7
"110011 Jaru",43,38,5,2,88
"110012 Ji-Paraná",148,161,24,1,334
"110013 Machadinho D'Oeste",5,10,1,-,16
"110120 Ministro Andreazza",-,1,-,-,1
"110130 Mirante da Serra",2,23,9,-,34
"110140 Monte Negro",16,31,7,3,57
"110014 Nova Brasilândia D'Oeste",3,10,-,-,13
"110033 Nova Mamoré",9,8,-,-,17
"110143 Nova União",16,5,5,-,26
"110050 Novo Horizonte do Oeste",1,-,-,-,1
"110015 Ouro Preto do Oeste",5,1,-,-,6
"110145 Parecis",2,6,-,1,9
"110018 Pimenta Bueno",19,133,-,-,152
"110146 Pimenteiras do Oeste",-,1,-,-,1
"110020 Porto Velho",469,1686,83,5,2243
"110025 Presidente Médici",26,2,-,-,28
"110147 Primavera de Rondônia",6,6,-,1,13
"110026 Rio Crespo",1,-,-,-,1
"110028 Rolim de Moura",73,147,3,1,224
"110029 Santa Luzia D'Oeste",2,18,3,-,23
"110148 São Felipe D'Oeste",-,-,1,-,1
"110149 São Francisco do Guaporé",25,74,26,9,134
"110032 São Miguel do Guaporé",6,8,3,-,17
"110150 Seringueiras",-,2,-,-,2
"110160 Theobroma",1,4,-,-,5
"110170 Urupá",24,4,1,1,30
"110175 Vale do Anari",2,8,-,-,10
"110030 Vilhena",366,318,7,1,692
"120001 Acrelândia",30,47,2,2,81
"120005 Assis Brasil",1,34,-,3,38
"120010 Brasiléia",191,1380,102,28,1701
"120013 Bujari",1,8,-,-,9
"120017 Capixaba",3,23,-,-,26
"120020 Cruzeiro do Sul",159,353,99,-,611
"120025 Epitaciolândia",-,6,1,-,7
"120030 Feijó",8,39,3,-,50
"120032 Jordão",43,94,1,-,138
"120033 Mâncio Lima",3,14,5,-,22
"120034 Manoel Urbano",2,18,3,1,24
"120035 Marechal Thaumaturgo",21,9,1,-,31
"120038 Plácido de Castro",5,112,20,9,146
"120080 Porto Acre",-,3,-,1,4
"120039 Porto Walter",2,15,-,-,17
"120040 Rio Branco",1867,2700,84,6,4657
"120042 Rodrigues Alves",18,12,2,2,34
"120043 Santa Rosa do Purus",4,6,-,-,10
"120050 Sena Madureira",3,28,4,3,38
"120045 Senador Guiomard",6,30,1,1,38
"120060 Tarauacá",7,409,16,8,440
"120070 Xapuri",106,490,50,39,685
"130002 Alvarães",15,231,8,13,267
"130006 Amaturá",50,114,3,1,168
"130008 Anamã",-,4,-,-,4
"130010 Anori",-,3,1,-,4
"130014 Apuí",15,164,44,7,230
"130020 Atalaia do Norte",27,67,39,1,134
"130030 Autazes",5,8,-,-,13
"130040 Barcelos",7,45,5,-,57
"130050 Barreirinha",3,124,8,1,136
"130060 Benjamin Constant",189,701,40,4,934
"130063 Beruri",1,18,-,-,19
"130068 Boa Vista do Ramos",19,28,1,-,48
"130070 Boca do Acre",-,10,-,2,12
"130080 Borba",21,162,5,-,188
"130083 Caapiranga",4,14,-,-,18
